month,stress_score
1,4.001730091797248
2,3.9890590616829265
3,5.5
4,4.265942425726882
5,3.950536264584109
6,3.961608819285546
7,3.983603317931372
8,4.008033900798298
9,3.995370512165069
10,3.9955219936862894
11,3.9721008300677667
12,3.9826763732242827
13,3.9884462214106944
14,3.9847257600897383
15,3.8673917772460302
16,3.980392949547219
17,3.963328304514332
18,3.946996029995589
19,3.9683357321415045
20,3.966070448500542
21,3.9141302012461505
22,3.8744936234058516
23,3.906882210578256
24,3.9952775203993185
25,5.5
